	PFT	tooth_type	transversal_lophs	hypsodonty_categorical	body_size_cat	acute_lophs	obtuse_lophs	occlusal_topography	horizodonty_Probosc	enamel_folding_or_ptychodonty	skull_shape	upper.tusks	lower.tusks	mandible	mandibular.symphysis	pattern.of.mastication_POM	teeth.replacement	foot.posture
Sinomastodon_intermedius	6	bun	3	bra	4	1	1	0	3	0		up_tsk_nearly_straight	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_gomph	P4 absent	subunguligrade
Sinomastodon_jiangnanensis	6	bun	0	bra	5	0	1	0	3	0	skull_bathyceph	up_tsk_nearly_straight	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_gomph	P4 absent	subunguligrade
Sinomastodon_sendaicus	6	bun	3	bra	5	1	1	0	3	0		up_tsk_nearly_straight	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_gomph	P4 absent	subunguligrade
Sinomastodon_yangziensis	6	bun	0	bra	5	0	1	0	4	0		up_tsk_nearly_straight	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_gomph	P4 absent	subunguligrade
Stegodibelodon_schneideri	6	blm	4	bra	6	0	1	1	4	0				mandb_long_angled	symph_long_parall	POM_eleph	P4 absent	subunguligrade
Stegolophodon_hueiheensis	6	blm	3	bra	5	0	1	0	3	0		up_tsk_down_curved		mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Stegolophodon_latidens	6	blm	4	bra	5	0	1	0	4	0		up_tsk_down_curved	low_tsk_conical	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Stegolophodon_lydekkeri	6	blm	4	bra	5	0	1	0	4	0		up_tsk_down_curved		mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Stegolophodon_nasaiensis	6	blm	3	bra	5	0	1	0	3	0		up_tsk_down_curved	low_tsk_conical	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Stegolophodon_pseudolatidens	6	blm	3	bra	5	0	1	0	3	0	skull_bathyceph	up_tsk_down_curved	low_tsk_conical	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Stegolophodon_stegodontoides	6	blm	4	bra	5	0	1	0	4	0		up_tsk_down_curved		mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Stegomastodon_aftoniae	6	blm	4	mes	5	0	1	0	4	1	skull_bathyceph	up_tsk_nearly_straight	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_gomph	P4 absent	subunguligrade
Stegomastodon_mirificus	6	blm	3	mes	5	0	1	0	3	0	skull_bathyceph	up_tsk_nearly_straight	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_gomph	P4 absent	subunguligrade
Stegomastodon_platensis	6	blm	0	mes	5	0	1	0	3	1	skull_bathyceph	up_tsk_nearly_straight	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_gomph	P4 absent	subunguligrade
Stegomastodon_primitivus	6	blm	3	mes	5	0	1	0	3	0	skull_bathyceph	up_tsk_nearly_straight	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_gomph	P4 absent	subunguligrade
Loxodonta_cookei	7	lam	4	bra	5	0	1	1	4	0	skull_bathyceph	up_tsk_gentle_up-curve	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Mammuthus_subplanifrons	7	lam	4	bra	6	0	1	1	4	0		up_tsk_gentle_up-curve	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Primelephas_korotorensis	7	lam	4	bra	5	0	1	1	4	0	skull_bathyceph		low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
Stegodon_aurorae	7	lam	6	bra	5	0	1	0	6	0	skull_bathyceph	up_tsk_nearly_straight	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_eleph	P4 absent	subunguligrade
